no,code,result,error,
205,400,2000,RM0011C-2053,4
206,400,2000,RM0011C-2054,4
207,400,2000,RM0011C-2055,4
208,400,2000,RM0011C-2056,4
209,400,2000,RM0011C-2057,4
210,400,1000,RM0011R-1002,3
211,400,1000,RM0011R-1003,3
212,400,2000,RM0011R-2003,1
213,400,2000,RM0011R-2005,2
214,400,2000,RM0011R-2006,2
215,400,2000,RM0011R-2007,1
216,400,2000,RM0011R-2008,2
217,400,1000,RM0011T-1002,3
218,400,1000,RM0011T-1003,3
219,400,1000,RM0011T-1004,3
220,400,2000,RM0011T-2002,1
221,400,2000,RM0011T-2004,2
222,400,2000,RM0011T-2005,2
223,400,2000,RM0011T-2006,1
224,400,2000,RM0011T-2007,2
225,400,2000,RM0011T-2009,4
226,400,2000,RM0011T-2010,4
227,400,2000,RM0011T-2011,4
228,400,2000,RM0011T-2012,4
229,400,2000,RM0011T-2013,4
230,400,2000,RM0011T-2014,4
231,400,2000,RM0011T-2015,4
232,400,2000,RM0011T-2016,4
233,400,2000,RM0011T-2017,4
234,400,2000,RM0011T-2018,4
235,400,2000,RM0011T-2019,4
236,400,2000,RM0011T-2020,4
237,400,2000,RM0011T-2021,4
238,400,2000,RM0011T-2022,4
239,400,2000,RM0011T-2023,4
240,400,2000,RM0011T-2024,4
241,400,2000,RM0011T-2025,4
242,400,2000,RM0011T-2026,4
243,400,2000,RM0011T-2027,4
244,400,2000,RM0011T-2028,4
245,400,2000,RM0011T-2029,4
246,400,2000,RM0011T-2030,4
247,400,2000,RM0011T-2031,4
248,400,2000,RM0011T-2032,4
249,400,2000,RM0011T-2033,4
250,400,2000,RM0011T-2034,4
251,400,2000,RM0011T-2035,4
252,400,2000,RM0011T-2036,4
253,400,2000,RM0011T-2037,4
254,400,2000,RM0011T-2038,4
255,400,2000,RM0011T-2039,4
256,400,2000,RM0011T-2040,4
257,400,2000,RM0011T-2041,4
258,400,2000,RM0011T-2042,4
259,400,2000,RM0011T-2043,4
260,400,2000,RM0011T-2044,4
261,400,2000,RM0011T-2045,4
262,400,2000,RM0011T-2046,4
263,400,2000,RM0011T-2047,4
264,400,2000,RM0011T-2048,4
265,400,2000,RM0011T-2049,4
266,400,2000,RM0011T-2050,4
267,400,2000,RM0011T-2051,4
268,400,2000,RM0011T-2052,4
269,400,2000,RM0011T-2053,4
270,400,2000,RM0011T-2054,4
271,400,2000,RM0011T-2055,4
272,400,1000,RM0012C-1002,3
273,400,1000,RM0012C-1003,3
274,400,1000,RM0012C-1004,3
275,400,2000,RM0012C-2002,1
276,400,2000,RM0012C-2004,2
277,400,2000,RM0012C-2005,2
278,400,2000,RM0012C-2006,1
279,400,2000,RM0012C-2007,2
280,400,2000,RM0012C-2009,4
281,400,2000,RM0012C-2010,4
282,400,2000,RM0012C-2011,4
283,400,2000,RM0012C-2012,4
284,400,2000,RM0012C-2013,4
285,400,2000,RM0012C-2014,4
286,400,2000,RM0012C-2015,4
287,400,2000,RM0012C-2016,4
288,400,2000,RM0012C-2017,4
289,400,2000,RM0012C-2018,4
290,400,2000,RM0012C-2019,4
291,400,2000,RM0012C-2020,4
292,400,2000,RM0012C-2021,4
293,400,2000,RM0012C-2022,4
294,400,2000,RM0012C-2023,4
295,400,2000,RM0012C-2024,4
296,400,2000,RM0012C-2025,4
297,400,2000,RM0012C-2026,4
298,400,2000,RM0012C-2027,4
299,400,2000,RM0012C-2028,4
300,400,2000,RM0012C-2029,4
301,400,2000,RM0012C-2030,4
302,400,2000,RM0012C-2031,4
303,400,2000,RM0012C-2032,4
304,400,2000,RM0012C-2033,4
305,400,2000,RM0012C-2034,4
306,400,2000,RM0012C-2035,4
307,400,2000,RM0012C-2036,4
308,400,2000,RM0012C-2037,4
309,400,2000,RM0012C-2038,4
310,400,2000,RM0012C-2039,4
311,400,2000,RM0012C-2040,4
312,400,2000,RM0012C-2041,4
313,400,2000,RM0012C-2042,4
314,400,2000,RM0012C-2043,4
315,400,2000,RM0012C-2044,4
316,400,2000,RM0012C-2046,4
317,400,2000,RM0012C-2047,4
318,400,1000,RM0012R-1002,3
319,400,1000,RM0012R-1003,3
320,400,2000,RM0012R-2003,1
321,400,2000,RM0012R-2005,2
322,400,2000,RM0012R-2006,2
323,400,2000,RM0012R-2007,1
324,400,2000,RM0012R-2008,2
325,400,2000,RM0012R-2010,1
326,400,2000,RM0012R-2011,1
327,400,2000,RM0012R-2012,1
328,400,1000,RM0012T-1002,3
329,400,1000,RM0012T-1003,3
330,400,1000,RM0012T-1004,3
331,400,2000,RM0012T-2002,1
332,400,2000,RM0012T-2004,2
333,400,2000,RM0012T-2005,2
334,400,2000,RM0012T-2006,1
335,400,2000,RM0012T-2007,2
336,400,2000,RM0012T-2009,4
337,400,2000,RM0012T-2010,4
338,400,2000,RM0012T-2011,4
339,400,2000,RM0012T-2012,4
340,400,2000,RM0012T-2013,4
341,400,2000,RM0012T-2014,4
342,400,2000,RM0012T-2015,4
343,400,2000,RM0012T-2016,4
344,400,2000,RM0012T-2017,4
345,400,2000,RM0012T-2018,4
346,400,2000,RM0012T-2019,4
347,400,2000,RM0012T-2020,4
348,400,2000,RM0012T-2021,4
349,400,2000,RM0012T-2022,4
350,400,2000,RM0012T-2023,4
351,400,2000,RM0012T-2024,4
352,400,2000,RM0012T-2025,4
353,400,2000,RM0012T-2026,4
354,400,2000,RM0012T-2027,4
355,400,2000,RM0012T-2028,4
356,400,2000,RM0012T-2029,4
357,400,2000,RM0012T-2030,4
358,400,2000,RM0012T-2031,4
359,400,2000,RM0012T-2032,4
360,400,2000,RM0012T-2033,4
361,400,2000,RM0012T-2034,4
362,400,2000,RM0012T-2035,4
363,400,2000,RM0012T-2036,4
364,400,2000,RM0012T-2037,4
365,400,2000,RM0012T-2038,4
366,400,2000,RM0012T-2039,4
367,400,2000,RM0012T-2040,4
368,400,2000,RM0012T-2041,4
369,400,2000,RM0012T-2042,4
370,400,2000,RM0012T-2043,4
371,400,2000,RM0012T-2044,4
372,400,1000,RM0013R-1002,3
373,400,1000,RM0013R-1003,3
374,400,2000,RM0013R-2001,1
375,400,2000,RM0013R-2002,1
376,400,2000,RM0013R-2003,1
377,400,2000,RM0013R-2004,1
378,400,2000,RM0013R-2006,1
379,400,1000,RM0014R-1002,3
380,400,1000,RM0014R-1003,3
381,400,1000,RM0014R-1004,3
382,400,2000,RM0014R-2001,1
383,400,2000,RM0014R-2002,1
384,400,2000,RM0014R-2003,2
385,400,2000,RM0014R-2006,1
386,400,2000,RM0014R-2008,1
387,400,2000,RM0014R-2009,1
388,400,2000,RM0014R-2011,1
389,400,1000,RM0015C-1002,3
390,400,1000,RM0015C-1003,3
391,400,1000,RM0015C-1004,3
392,400,2000,RM0015C-2002,1
393,400,2000,RM0015C-2003,1
394,400,2000,RM0015C-2004,1
395,400,2000,RM0015C-2005,2
396,400,2000,RM0015C-2007,1
397,400,2000,RM0015C-2009,2
398,400,2000,RM0015C-2010,1
399,400,2000,RM0015C-2011,1
400,400,2000,RM0015C-2012,1
401,400,2000,RM0015C-2013,1
402,400,1000,RM0015T-1002,3
403,400,1000,RM0015T-1003,3
404,400,2000,RM0015T-2002,1
405,400,2000,RM0015T-2003,1
406,400,2000,RM0015T-2004,1
407,400,2000,RM0015T-2006,1
408,400,2000,RM0015T-2008,2
409,400,2000,RM0015T-2009,1
410,400,2000,RM0015T-2010,1
411,400,2000,RM0015T-2011,1
412,400,2000,RM0015T-2012,1
413,400,1000,RM0016C-1002,3
414,400,1000,RM0016C-1003,3
415,400,2000,RM0016C-2002,1
416,400,2000,RM0016C-2004,2
417,400,2000,RM0016C-2005,1
418,400,1000,RM0017C-1002,3
419,400,1000,RM0017C-1003,3
420,400,1000,RM0017C-1004,3
421,400,2000,RM0017C-2001,1
422,400,2000,RM0017C-2002,2
423,400,2000,RM0017C-2004,1
424,400,2000,RM0017C-2006,2
425,400,2000,RM0017C-2007,2
426,400,2000,RM0017C-2008,1
427,400,2000,RM0017C-2009,1
428,400,2000,RM0017C-2011,2
429,400,2000,RM0017C-2012,2
430,400,2000,RM0017C-2013,1
431,400,2000,RM0017C-2015,1
432,400,2000,RM0017C-2022,1
433,400,2000,RM0017C-2023,1
434,400,1000,RM0017T-1002,3
435,400,1000,RM0017T-1003,3
436,400,2000,RM0017T-2001,1
437,400,2000,RM0017T-2002,1
438,400,2000,RM0017T-2003,2
439,400,2000,RM0017T-2006,1
440,400,2000,RM0017T-2008,2
441,400,2000,RM0017T-2009,2
442,400,2000,RM0017T-2010,1
443,400,2000,RM0017T-2011,1
444,400,2000,RM0017T-2012,2
445,400,2000,RM0017T-2013,2
446,400,2000,RM0017T-2014,1
447,400,2000,RM0017T-2016,1
448,400,2000,RM0017T-2017,1
449,400,1000,RM0018R-1002,3
450,400,1000,RM0018R-1003,3
451,400,1000,RM0018R-1004,3
452,400,2000,RM0018R-2002,1
453,400,2000,RM0018R-2004,1
454,400,2000,RM0018R-2005,1
455,400,2000,RM0018R-2006,1
456,400,2000,RM0018R-2007,1
457,400,1000,RM0019R-1002,3
458,400,1000,RM0019R-1003,3
459,400,2000,RM0019R-2001,2
460,400,2000,RM0019R-2002,2
461,400,2000,RM0019R-2004,1
462,400,2000,RM0019R-2005,1
463,400,2000,RM0019R-2007,1
464,400,2000,RM0019R-2008,1
465,400,2000,RM0019R-2009,1
466,400,2000,RM0019R-2010,1
467,400,2000,RM0019R-2012,1
468,400,2000,RM0019R-2014,1
469,400,2000,RM0019R-2015,1
470,400,1000,RM0020R-1002,3
471,400,1000,RM0020R-1003,3
472,400,2000,RM0020R-2003,1
473,400,2000,RM0011R-2005,2
474,400,1000,RM0021R-1002,3
475,400,1000,RM0021R-1003,3
476,400,2000,RM0021R-2002,1
477,400,1000,RM0024R-1002,3
478,400,1000,RM0024R-1003,3
479,400,2000,TO0001R-001-0000,1
480,400,2000,TO0001R-027-0000,1
481,400,1000,TO0001R-050-0002,3
482,400,1000,TO0001R-050-0003,3
483,400,1000,TO0001R-050-0005,3
484,400,2000,TO0001R-071-0000,1
485,400,2000,TO0001R-073-0000,1
486,400,2000,TO0006R-001-0000,1
487,400,2000,TO0006R-027-0000,1
488,400,1000,TO0006R-050-0002,3
489,400,1000,TO0006R-050-0003,3
490,400,1000,TO0006R-050-0004,3
491,400,2000,TO0006R-071-0000,1
492,400,2000,TO0006R-073-0000,1
493,400,2000,TO0006R-128-0000,1
494,400,2000,TO0007R-001-0000,1
495,400,2000,TO0007R-027-0000,1
496,400,1000,TO0007R-050-0002,3
497,400,1000,TO0007R-050-0003,3
498,400,1000,TO0007R-050-0004,3
499,400,1000,TO0007R-050-0005,3
500,400,2000,TO0007R-071-0000,1
501,400,2000,TO0007R-073-0000,1
502,400,2000,TO0002R-001-0000,1
503,400,2000,TO0002R-027-0000,1
504,400,1000,TO0002R-050-0002,3
505,400,1000,TO0002R-050-0003,3
506,400,1000,TO0002R-050-0004,3
507,400,2000,TO0002R-071-0000,1
508,400,2000,TO0002R-073-0000,1
509,400,2000,TO0002R-127-0000,1
510,400,2000,TO0003R-001-0000,1
511,400,2000,TO0003R-027-0000,1
512,400,1000,TO0003R-050-0002,3
513,400,1000,TO0003R-050-0003,3
514,400,1000,TO0003R-050-0004,3
515,400,2000,TO0003R-071-0000,1
516,400,2000,TO0003R-073-0000,1
517,400,2000,TO0004R-001-0000,2
518,400,2000,TO0004R-027-0000,2
519,400,1000,TO0004R-050-0002,3
520,400,1000,TO0004R-050-0003,3
521,400,1000,TO0004R-050-0004,3
522,400,2000,TO0004R-071-0000,1
523,400,2000,TO0004R-073-0000,1
524,400,2000,TO0022U-001-0000,2
525,400,2000,TO0022U-027-0000,2
526,400,1000,TO0022U-050-0002,3
527,400,1000,TO0022U-050-0003,3
528,400,2000,TO0022U-071-0000,1
529,400,2000,TO0022U-073-0000,1
530,400,2000,TO0010R-027-0000,1
531,400,1000,TO0010R-050-0002,3
532,400,1000,TO0010R-050-0003,3
533,400,1000,TO0010R-050-0004,3
534,400,2000,TO0014C-001-0000,1
535,400,2000,TO0014C-027-0000,1
536,400,1000,TO0014C-050-0002,3
537,400,1000,TO0014C-050-0003,3
538,400,1000,TO0014C-050-0004,3
539,400,2000,TO0014C-129-0000,1
540,400,2000,TO0014C-156-0000,1
541,400,2000,TO0014C-158-0000,1
542,400,2000,TO0014C-159-0000,1
543,400,2000,TO0014C-160-0000,1
